video_name,num_frames,class_index
Falls/fall_fall-15,29.0,1
Falls/fall_fall-02,29.0,1
Falls/fall_fall-22,29.0,1
Falls/fall_fall-07,29.0,1
Falls/fall_fall-24,29.0,1
Falls/fall_fall-06,29.0,1
NotFalls/notfall_adl-27,99.0,2
NotFalls/notfall_fall-29_post,20.0,2
NotFalls/notfall_fall-01_pre,81.0,2
NotFalls/notfall_adl-24,69.0,2
NotFalls/notfall_fall-12_post,55.0,2
NotFalls/notfall_fall-17_pre,57.0,2
NotFalls/notfall_adl-36,339.0,2
NotFalls/notfall_fall-06_post,59.0,2
NotFalls/notfall_fall-24_post,18.0,2
NotFalls/notfall_adl-02,179.0,2
NotFalls/notfall_adl-20,269.0,2
NotFalls/notfall_adl-04,149.0,2
NotFalls/notfall_adl-35,279.0,2
NotFalls/notfall_fall-25_post,10.0,2
NotFalls/notfall_fall-11_pre,47.0,2
NotFalls/notfall_adl-39,269.0,2
NotFalls/notfall_fall-20_pre,16.0,2
NotFalls/notfall_fall-10_post,60.0,2
NotFalls/notfall_adl-38,344.0,2
NotFalls/notfall_fall-08_pre,28.0,2
