video_name,num_frames,class_index
Falls/fall_fall-23,29.0,1
Falls/fall_fall-20,29.0,1
Falls/fall_fall-21,29.0,1
Falls/fall_fall-30,29.0,1
Falls/fall_fall-22,29.0,1
Falls/fall_fall-28,29.0,1
NotFalls/notfall_fall-12_pre,23.0,2
NotFalls/notfall_adl-34,190.0,2
NotFalls/notfall_fall-23_post,18.0,2
NotFalls/notfall_fall-14_post,15.0,2
NotFalls/notfall_fall-23_pre,25.0,2
NotFalls/notfall_adl-15,274.0,2
NotFalls/notfall_adl-30,399.0,2
NotFalls/notfall_adl-40,329.0,2
NotFalls/notfall_fall-08_pre,28.0,2
NotFalls/notfall_adl-10,299.0,2
NotFalls/notfall_fall-19_post,45.0,2
NotFalls/notfall_fall-15_post,13.0,2
NotFalls/notfall_adl-12,249.0,2
NotFalls/notfall_adl-07,179.0,2
NotFalls/notfall_fall-03_post,37.0,2
NotFalls/notfall_fall-25_post,10.0,2
NotFalls/notfall_fall-27_post,11.0,2
NotFalls/notfall_fall-16_pre,15.0,2
NotFalls/notfall_adl-02,179.0,2
NotFalls/notfall_adl-22,239.0,2
